longitude,latitude,septic_id_short,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,house_ids
36.315776,32.301232,D1-B10-T4,4,160,,,"D01-B10-H243,D01-B10-H244,D01-B10-H259,D01-B10-H260,D01-B10-H273,D01-B10-H274"
36.315187,32.300957,D1-B10-T5,4,160,,,"D01-B10-H262,D01-B10-H266,D01-B10-H268,D01-B10-H269,D01-B10-H270,D01-B10-H271,D01-B10-H272"
36.31573,32.300848,D1-B10-T6,4,160,,,"D01-B10-H238,D01-B10-H239,D01-B10-H240,D01-B10-H241,D01-B10-H242,D01-B10-H261,D01-B10-H263,D01-B10-H264,D01-B10-H265,D01-B10-H267"
36.315966,32.300794,D1-B10-T7,4,160,,,"D01-B10-H225,D01-B10-H228,D01-B10-H229,D01-B10-H230,D01-B10-H231,D01-B10-H232,D01-B10-H233,D01-B10-H234,D01-B10-H235"
36.316192,32.300525,D1-B10-T8,2,160,,,"D01-B10-H220,D01-B10-H221,D01-B10-H222,D01-B10-H236,D01-B10-H237"
36.316447,32.300767,D1-B10-T9,4,160,,,"D01-B10-H212,D01-B10-H213,D01-B10-H217,D01-B10-H218,D01-B10-H222-1,D01-B10-H223,D01-B10-H224,D01-B10-H225"
36.316719,32.300462,D1-B10-T10,2,160,,,"D01-B10-H193,D01-B10-H203"
36.316724,32.300412,D1-B10-T11,4,160,,,"D02-B01-H073,D02-B01-H084,D02-B01-H085,D02-B01-H086,D02-B01-H094,D02-B01-H095,D02-B01-H096"
36.317105,32.300639,D1-B10-T12,4,160,,,"D01-B10-H195,D01-B10-H200,D01-B10-H201,D01-B10-H206"
36.317506,32.300697,D1-B10-T13,4,160,,,"D01-B10-H169,D01-B10-H170,D01-B10-H171,D01-B10-H172,D01-B10-H173"
